cve_id,commit_hash,repo_url,repo_name,cvss_score,cwe_id,published_date,cvss3_base_severity,epss_score
CVE-2009-5145,2abdf14620f146857dc8e3ffd2b6a754884c331d,https://github.com/zopefoundation/Zope,zopefoundation/Zope,6.1,CWE-79,2017-08-07T17:29Z,MEDIUM,0.02055
CVE-2011-2765,554e095a62c4412c91f981e72fd34a936ac2bf1e,https://github.com/irmen/Pyro3,irmen/Pyro3,7.5,CWE-59,2018-08-20T13:29Z,HIGH,0.02188
CVE-2011-3211,46795ae451ca6ede55a0edeb726978aef4684b53,https://github.com/solj/bcfg2,solj/bcfg2,0.0,CWE-20,2011-09-16T12:35Z,,0.04798
CVE-2011-3211,f4a35efec1b6a1e54d61cf1b8bfc83dd1d89eef7,https://github.com/solj/bcfg2,solj/bcfg2,0.0,CWE-20,2011-09-16T12:35Z,,0.04798
CVE-2011-4312,7a0a9d94555502278534dedcf2d75e9fccce8c3d,https://github.com/reviewboard/reviewboard,reviewboard/reviewboard,0.0,CWE-79,2011-11-24T04:01Z,,0.02252
CVE-2011-4596,ad3241929ea00569c74505ed002208ce360c667e,https://github.com/openstack/nova,openstack/nova,0.0,CWE-22,2011-12-23T22:55Z,,0.01941
CVE-2012-2101,1f644d210557b1254f7c7b39424b09a45329ade7,https://github.com/openstack/nova,openstack/nova,0.0,CWE-264,2012-06-07T19:55Z,,0.0148
CVE-2012-2144,041b1c44c7d6cf5429505067c32f8f35166a8bab,https://github.com/openstack/horizon,openstack/horizon,0.0,NVD-CWE-Other,2012-06-05T22:55Z,,0.0211
CVE-2012-2395,6d9167e5da44eca56bdf42b5776097a6779aaadf,https://github.com/cobbler/cobbler,cobbler/cobbler,0.0,NVD-CWE-Other,2012-06-16T00:55Z,,0.05555
CVE-2012-2417,9f912f13df99ad3421eff360d6a62d7dbec755c2,https://github.com/Legrandin/pycrypto,Legrandin/pycrypto,0.0,CWE-310,2012-06-17T03:41Z,,0.02727
CVE-2012-2654,ff06c7c885dc94ed7c828e8cdbb8b5d850a7e654,https://github.com/openstack/nova,openstack/nova,0.0,CWE-20,2012-06-21T15:55Z,,0.02626
CVE-2012-3360,2427d4a99bed35baefd8f17ba422cb7aae8dcca7,https://github.com/openstack/nova,openstack/nova,0.0,CWE-22,2012-07-22T16:55Z,,0.02997
CVE-2012-3361,2427d4a99bed35baefd8f17ba422cb7aae8dcca7,https://github.com/openstack/nova,openstack/nova,0.0,CWE-264,2012-07-22T16:55Z,,0.02582
CVE-2012-3366,a524967e8d5c4c22e49cd619aed20c87a316c0be,https://github.com/Bcfg2/bcfg2,Bcfg2/bcfg2,0.0,CWE-78,2012-07-03T16:40Z,,0.0382
CVE-2012-3371,034762e8060dcf0a11cb039b9d426b0d0bb1801d,https://github.com/openstack/nova,openstack/nova,0.0,CWE-20,2012-07-17T21:55Z,,0.01846
CVE-2012-3426,375838cfceb88cacc312ff6564e64eb18ee6a355,https://github.com/openstack/keystone,openstack/keystone,0.0,CWE-264,2012-07-31T10:45Z,,0.02266
CVE-2012-3426,628149b3dc6b58b91fd08e6ca8d91c728ccb8626,https://github.com/openstack/keystone,openstack/keystone,0.0,CWE-264,2012-07-31T10:45Z,,0.02266
CVE-2012-3426,a67b24878a6156eab17b9098fa649f0279256f5d,https://github.com/openstack/keystone,openstack/keystone,0.0,CWE-264,2012-07-31T10:45Z,,0.02266
CVE-2012-3447,ce4b2e27be45a85b310237615c47eb53f37bb5f3,https://github.com/openstack/nova,openstack/nova,0.0,CWE-264,2012-08-20T18:55Z,,0.01933
CVE-2012-3458,91becae76101cf87ce8cbfabe3af2622fc328fe5,https://github.com/bbangert/beaker,bbangert/beaker,0.0,CWE-310,2012-09-15T17:55Z,,0.02447
CVE-2012-3542,c13d0ba606f7b2bdc609a7f388334e5efec3f3aa,https://github.com/openstack/keystone,openstack/keystone,0.0,CWE-264,2012-09-05T23:55Z,,0.0248
CVE-2012-4406,e1ff51c04554d51616d2845f92ab726cb0e5831a,https://github.com/openstack/swift,openstack/swift,0.0,CWE-94,2012-10-22T23:55Z,,0.06518
CVE-2012-4456,1d146f5c32e58a73a677d308370f147a3271c2cb,https://github.com/openstack/keystone,openstack/keystone,0.0,CWE-287,2012-10-09T15:55Z,,0.03965
CVE-2012-4456,868054992faa45d6f42d822bf1588cb88d7c9ccb,https://github.com/openstack/keystone,openstack/keystone,0.0,CWE-287,2012-10-09T15:55Z,,0.03965
CVE-2012-4457,4ebfdfaf23c6da8e3c182bf3ec2cb2b7132ef685,https://github.com/openstack/keystone,openstack/keystone,0.0,CWE-287,2012-10-09T15:55Z,,0.02267
CVE-2012-4520,9305c0e12d43c4df999c3301a1f0c742264a657e,https://github.com/django/django,django/django,0.0,CWE-20,2012-11-18T23:55Z,,0.03635
CVE-2012-4573,6ab0992e5472ae3f9bef0d2ced41030655d9d2bc,https://github.com/openstack/glance,openstack/glance,0.0,CWE-264,2012-11-11T13:00Z,,0.03318
CVE-2012-5482,b591304b8980d8aca8fa6cda9ea1621aca000c88,https://github.com/openstack/glance,openstack/glance,0.0,CWE-264,2012-11-11T13:00Z,,0.02722
CVE-2012-5563,38c7e46a640a94da4da89a39a5a1ea9c081f1eb5,https://github.com/openstack/keystone,openstack/keystone,0.0,CWE-255,2012-12-18T01:55Z,,0.0284
CVE-2012-5571,9d68b40cb9ea818c48152e6c712ff41586ad9653,https://github.com/openstack/keystone,openstack/keystone,0.0,CWE-255,2012-12-18T01:55Z,,0.02038
CVE-2012-5625,9d2ea970422591f8cdc394001be9a2deca499a5f,https://github.com/openstack/nova,openstack/nova,0.0,CWE-200,2012-12-26T22:55Z,,0.01994
