cve_id,commit_hash,cvss_score,epss_score,cwe_id,composite_score,fixed_gate_blocked,risk_gate_blocked
CVE-2009-5145,2abdf14620f146857dc8e3ffd2b6a754884c331d,6.1,0.02055,CWE-79,0.4123,False,True
CVE-2011-2765,554e095a62c4412c91f981e72fd34a936ac2bf1e,7.5,0.02188,CWE-59,0.0131,True,False
CVE-2011-3211,46795ae451ca6ede55a0edeb726978aef4684b53,0.0,0.04798,CWE-20,0.0288,False,False
CVE-2011-3211,f4a35efec1b6a1e54d61cf1b8bfc83dd1d89eef7,0.0,0.04798,CWE-20,0.0288,False,False
CVE-2011-4312,7a0a9d94555502278534dedcf2d75e9fccce8c3d,0.0,0.02252,CWE-79,0.4135,False,True
CVE-2011-4596,ad3241929ea00569c74505ed002208ce360c667e,0.0,0.01941,CWE-22,0.4116,False,True
CVE-2012-2101,1f644d210557b1254f7c7b39424b09a45329ade7,0.0,0.0148,CWE-264,0.0089,False,False
CVE-2012-2144,041b1c44c7d6cf5429505067c32f8f35166a8bab,0.0,0.0211,NVD-CWE-Other,0.0127,False,False
CVE-2012-2395,6d9167e5da44eca56bdf42b5776097a6779aaadf,0.0,0.05555,NVD-CWE-Other,0.0333,False,False
CVE-2012-2417,9f912f13df99ad3421eff360d6a62d7dbec755c2,0.0,0.02727,CWE-310,0.0164,False,False
CVE-2012-2654,ff06c7c885dc94ed7c828e8cdbb8b5d850a7e654,0.0,0.02626,CWE-20,0.0158,False,False
CVE-2012-3360,2427d4a99bed35baefd8f17ba422cb7aae8dcca7,0.0,0.02997,CWE-22,0.418,False,True
CVE-2012-3361,2427d4a99bed35baefd8f17ba422cb7aae8dcca7,0.0,0.02582,CWE-264,0.0155,False,False
CVE-2012-3366,a524967e8d5c4c22e49cd619aed20c87a316c0be,0.0,0.0382,CWE-78,0.0229,False,False
CVE-2012-3371,034762e8060dcf0a11cb039b9d426b0d0bb1801d,0.0,0.01846,CWE-20,0.0111,False,False
CVE-2012-3426,375838cfceb88cacc312ff6564e64eb18ee6a355,0.0,0.02266,CWE-264,0.0136,False,False
CVE-2012-3426,628149b3dc6b58b91fd08e6ca8d91c728ccb8626,0.0,0.02266,CWE-264,0.0136,False,False
CVE-2012-3426,a67b24878a6156eab17b9098fa649f0279256f5d,0.0,0.02266,CWE-264,0.0136,False,False
CVE-2012-3447,ce4b2e27be45a85b310237615c47eb53f37bb5f3,0.0,0.01933,CWE-264,0.0116,False,False
CVE-2012-3458,91becae76101cf87ce8cbfabe3af2622fc328fe5,0.0,0.02447,CWE-310,0.0147,False,False
CVE-2012-3542,c13d0ba606f7b2bdc609a7f388334e5efec3f3aa,0.0,0.0248,CWE-264,0.0149,False,False
CVE-2012-4406,e1ff51c04554d51616d2845f92ab726cb0e5831a,0.0,0.06518,CWE-94,0.0391,False,False
CVE-2012-4456,1d146f5c32e58a73a677d308370f147a3271c2cb,0.0,0.03965,CWE-287,0.0238,False,False
CVE-2012-4456,868054992faa45d6f42d822bf1588cb88d7c9ccb,0.0,0.03965,CWE-287,0.0238,False,False
CVE-2012-4457,4ebfdfaf23c6da8e3c182bf3ec2cb2b7132ef685,0.0,0.02267,CWE-287,0.0136,False,False
CVE-2012-4520,9305c0e12d43c4df999c3301a1f0c742264a657e,0.0,0.03635,CWE-20,0.0218,False,False
CVE-2012-4573,6ab0992e5472ae3f9bef0d2ced41030655d9d2bc,0.0,0.03318,CWE-264,0.0199,False,False
CVE-2012-5482,b591304b8980d8aca8fa6cda9ea1621aca000c88,0.0,0.02722,CWE-264,0.0163,False,False
CVE-2012-5563,38c7e46a640a94da4da89a39a5a1ea9c081f1eb5,0.0,0.0284,CWE-255,0.017,False,False
CVE-2012-5571,9d68b40cb9ea818c48152e6c712ff41586ad9653,0.0,0.02038,CWE-255,0.0122,False,False
CVE-2012-5625,9d2ea970422591f8cdc394001be9a2deca499a5f,0.0,0.01994,CWE-200,0.012,False,False
CVE-2012-5642,83109bce144f443a48ef31165a5389b7b83f4e0e,0.0,0.03123,NVD-CWE-noinfo,0.0187,False,False
CVE-2013-0212,e96273112b5b5da58d970796b7cfce04c5030a89,0.0,0.02965,CWE-200,0.0178,False,False
CVE-2013-0270,7691276b869a86c2b75631d5bede9f61e030d9d8,0.0,0.03067,CWE-119,0.0184,False,False
CVE-2013-0294,38f74b36814ca5b1a27d9898141126af4953bee5,5.9,0.02833,CWE-330,0.017,False,False
CVE-2013-0342,38f74b36814ca5b1a27d9898141126af4953bee5,4.3,0.01543,CWE-20,0.0093,False,False
CVE-2013-1445,19dcf7b15d61b7dc1a125a367151de40df6ef175,0.0,0.02007,CWE-310,0.012,False,False
CVE-2013-1630,ffadb0bcdef1e385884571670210cfd6ba351784,0.0,0.02083,CWE-20,0.0125,False,False
CVE-2013-2012,ad09ee27d402be797b3456abff6edeb4291edfec,7.3,0.00413,CWE-269,0.0025,True,False
CVE-2013-2012,c763b2afadb188ab52849c21d43d2e8fe5b8800a,7.3,0.00413,CWE-269,0.0025,True,False
CVE-2013-2132,a060c15ef87e0f0e72974c7c0e57fe811bbd06a2,0.0,0.02633,NVD-CWE-Other,0.0158,False,False
CVE-2013-2209,4aaacbb1e628a80803ba1a55703db38fccdf7dbf,0.0,0.02164,CWE-79,0.413,False,True
CVE-2013-4249,cbe6d5568f4f5053ed7228ca3c3d0cce77cf9560,0.0,0.0288,CWE-79,0.4173,False,True
CVE-2013-4251,bd296e0336420b840fcd2faabb97084fd252a973,7.8,0.00427,CWE-269,0.0026,True,False
CVE-2013-4509,6aae0a9f145f536515e268dd6b25aa740a5edfe7,0.0,0.00341,CWE-255,0.002,False,False
CVE-2013-6044,ae3535169af804352517b7fea94a42a1c9c4b762,0.0,0.02297,CWE-79,0.4138,False,True
CVE-2013-7176,eb2f0c927257120dfc32d2450fd63f1962f38821,0.0,0.03235,CWE-20,0.0194,False,False
CVE-2013-7177,bd175f026737d66e7110868fb50b3760ff75e087,0.0,0.03235,CWE-20,0.0194,False,False
CVE-2013-7416,2817869f98c54975f31e2dd674c1aefa70749cca,0.0,0.02846,CWE-77,0.0171,False,False
CVE-2013-7459,8dbe0dc3eea5c689d4f76b37b93fe216cf1f00d4,9.8,0.09501,CWE-119,0.057,True,False
CVE-2014-0012,acb672b6a179567632e032f547582f30fa2f4aa7,0.0,0.0043,CWE-264,0.0026,False,False
CVE-2014-0593,10d5bddcea29f74a175f7f550924bf6407e52e93,9.8,0.01869,CWE-20,0.0112,True,False
CVE-2014-1604,fc9bbcd25b0b4f09bbd6339f710ad24c129d5d7c,0.0,0.00351,NVD-CWE-Other,0.0021,False,False
CVE-2014-1858,0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,5.5,0.00447,CWE-20,0.0027,False,False
CVE-2014-1859,0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,5.5,0.00471,CWE-59,0.0028,False,False
CVE-2014-1932,4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,0.0,0.00492,CWE-59,0.003,False,False
CVE-2014-1933,4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,0.0,0.00448,CWE-264,0.0027,False,False
CVE-2014-2235,876e3662ff6b78cc6241338c15e3a0cb49edf4e2,0.0,0.01925,CWE-79,0.4116,False,True
CVE-2014-2236,876e3662ff6b78cc6241338c15e3a0cb49edf4e2,0.0,0.02095,CWE-79,0.4126,False,True
CVE-2014-2236,a676a86b6b7a5737d4da4f59f71e037406f88d29,0.0,0.02095,CWE-79,0.4126,False,True
CVE-2014-2260,3270fd1d78391bb847b4c9ce37cf921f485b1310,0.0,0.01487,CWE-79,0.4089,False,True
CVE-2014-3498,8ed6350e65c82292a631f08845dfaacffe7f07f5,8.8,0.02498,CWE-20,0.015,True,False
CVE-2014-3589,205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d,0.0,0.03587,CWE-20,0.0215,False,False
CVE-2014-3840,398c480c10416d76e7c1dcb607e726e8fc988e72,0.0,0.03476,CWE-79,0.4209,False,True
